2025/07/31 18:13:11 event="get_save" level_id=20
2025/07/31 18:13:11 event="no_save_file_found" level_id=20
2025/07/31 18:13:11 event="get_save" level_id=7
2025/07/31 18:13:11 event="no_save_file_found" level_id=7
2025/07/31 18:13:11 event="get_save" level_id=14
2025/07/31 18:13:11 event="no_save_file_found" level_id=14
2025/07/31 18:13:11 event="get_save" level_id=17
2025/07/31 18:13:11 event="no_save_file_found" level_id=17
2025/07/31 18:13:11 event="get_save" level_id=28
2025/07/31 18:13:11 event="no_save_file_found" level_id=28
2025/07/31 18:13:11 event="get_save" level_id=10
2025/07/31 18:13:11 event="no_save_file_found" level_id=10
2025/07/31 18:13:11 event="get_save" level_id=22
2025/07/31 18:13:11 event="no_save_file_found" level_id=22
2025/07/31 18:17:11 event="get_all_level_packs"
2025/07/31 18:17:11 event="found_level_packs" count=1
2025/07/31 18:17:11 event="count_levels"
2025/07/31 18:17:11 event="counted_levels" count=30
2025/07/31 18:17:11 event="count_solved_levels"
2025/07/31 18:17:11 event="counted_solved_levels" count=0
2025/07/31 18:17:11 event="count_levels"
2025/07/31 18:17:11 event="counted_levels" count=30
2025/07/31 18:17:11 event="count_solved_levels"
2025/07/31 18:17:11 event="counted_solved_levels" count=0
2025/07/31 18:17:12 event="get_levels_by_pack" level_pack_id=1
2025/07/31 18:17:12 event="found_levels_for_pack" count=30 level_pack_id=1
2025/07/31 18:17:12 event="get_save" level_id=15
2025/07/31 18:17:12 event="no_save_file_found" level_id=15
2025/07/31 18:17:12 event="get_save" level_id=24
2025/07/31 18:17:12 event="no_save_file_found" level_id=24
2025/07/31 18:17:12 event="get_save" level_id=11
2025/07/31 18:17:12 event="no_save_file_found" level_id=11
2025/07/31 18:17:12 event="get_save" level_id=4
2025/07/31 18:17:12 event="no_save_file_found" level_id=4
2025/07/31 18:17:12 event="get_save" level_id=3
2025/07/31 18:17:12 event="no_save_file_found" level_id=3
2025/07/31 18:17:12 event="get_save" level_id=25
2025/07/31 18:17:12 event="no_save_file_found" level_id=25
2025/07/31 18:17:12 event="get_save" level_id=19
2025/07/31 18:17:12 event="no_save_file_found" level_id=19
2025/07/31 18:17:12 event="get_save" level_id=2
2025/07/31 18:17:12 event="no_save_file_found" level_id=2
2025/07/31 18:17:12 event="get_save" level_id=12
2025/07/31 18:17:12 event="no_save_file_found" level_id=12
2025/07/31 18:17:12 event="get_save" level_id=1
2025/07/31 18:17:12 event="no_save_file_found" level_id=1
2025/07/31 18:17:12 event="get_save" level_id=18
2025/07/31 18:17:12 event="no_save_file_found" level_id=18
2025/07/31 18:17:12 event="get_save" level_id=27
2025/07/31 18:17:12 event="no_save_file_found" level_id=27
2025/07/31 18:17:12 event="get_save" level_id=29
2025/07/31 18:17:12 event="no_save_file_found" level_id=29
2025/07/31 18:17:12 event="get_save" level_id=9
2025/07/31 18:17:12 event="no_save_file_found" level_id=9
2025/07/31 18:17:12 event="get_save" level_id=8
2025/07/31 18:17:12 event="no_save_file_found" level_id=8
2025/07/31 18:17:12 event="get_save" level_id=21
2025/07/31 18:17:12 event="no_save_file_found" level_id=21
2025/07/31 18:17:12 event="get_save" level_id=23
2025/07/31 18:17:12 event="no_save_file_found" level_id=23
2025/07/31 18:17:12 event="get_save" level_id=26
2025/07/31 18:17:12 event="no_save_file_found" level_id=26
2025/07/31 18:17:12 event="get_save" level_id=16
2025/07/31 18:17:12 event="no_save_file_found" level_id=16
2025/07/31 18:17:12 event="get_save" level_id=5
2025/07/31 18:17:12 event="no_save_file_found" level_id=5
2025/07/31 18:17:12 event="get_save" level_id=30
2025/07/31 18:17:12 event="no_save_file_found" level_id=30
2025/07/31 18:17:12 event="get_save" level_id=6
2025/07/31 18:17:12 event="no_save_file_found" level_id=6
2025/07/31 18:17:12 event="get_save" level_id=13
2025/07/31 18:17:12 event="no_save_file_found" level_id=13
2025/07/31 18:17:12 event="get_save" level_id=20
2025/07/31 18:17:12 event="no_save_file_found" level_id=20
2025/07/31 18:17:12 event="get_save" level_id=7
2025/07/31 18:17:12 event="no_save_file_found" level_id=7
2025/07/31 18:17:12 event="get_save" level_id=14
2025/07/31 18:17:12 event="no_save_file_found" level_id=14
2025/07/31 18:17:12 event="get_save" level_id=17
2025/07/31 18:17:12 event="no_save_file_found" level_id=17
2025/07/31 18:17:12 event="get_save" level_id=28
2025/07/31 18:17:12 event="no_save_file_found" level_id=28
2025/07/31 18:17:12 event="get_save" level_id=10
2025/07/31 18:17:12 event="no_save_file_found" level_id=10
2025/07/31 18:17:12 event="get_save" level_id=22
2025/07/31 18:17:12 event="no_save_file_found" level_id=22
2025/07/31 18:17:13 event="get_save" level_id=15
2025/07/31 18:17:13 event="no_save_file_found" level_id=15
2025/07/31 18:17:13 event="get_save" level_id=24
2025/07/31 18:17:13 event="no_save_file_found" level_id=24
2025/07/31 18:17:13 event="get_save" level_id=11
2025/07/31 18:17:13 event="no_save_file_found" level_id=11
2025/07/31 18:17:13 event="get_save" level_id=4
2025/07/31 18:17:13 event="no_save_file_found" level_id=4
2025/07/31 18:17:13 event="get_save" level_id=3
2025/07/31 18:17:13 event="no_save_file_found" level_id=3
2025/07/31 18:17:13 event="get_save" level_id=25
2025/07/31 18:17:13 event="no_save_file_found" level_id=25
2025/07/31 18:17:13 event="get_save" level_id=19
2025/07/31 18:17:13 event="no_save_file_found" level_id=19
2025/07/31 18:17:13 event="get_save" level_id=2
2025/07/31 18:17:13 event="no_save_file_found" level_id=2
2025/07/31 18:17:13 event="get_save" level_id=12
2025/07/31 18:17:13 event="no_save_file_found" level_id=12
2025/07/31 18:17:13 event="get_save" level_id=1
2025/07/31 18:17:13 event="no_save_file_found" level_id=1
2025/07/31 18:17:13 event="get_save" level_id=18
2025/07/31 18:17:13 event="no_save_file_found" level_id=18
2025/07/31 18:17:13 event="get_save" level_id=27
2025/07/31 18:17:13 event="no_save_file_found" level_id=27
2025/07/31 18:17:13 event="get_save" level_id=29
2025/07/31 18:17:13 event="no_save_file_found" level_id=29
2025/07/31 18:17:13 event="get_save" level_id=9
2025/07/31 18:17:13 event="no_save_file_found" level_id=9
2025/07/31 18:17:13 event="get_save" level_id=8
2025/07/31 18:17:13 event="no_save_file_found" level_id=8
2025/07/31 18:17:13 event="get_save" level_id=21
2025/07/31 18:17:13 event="no_save_file_found" level_id=21
2025/07/31 18:17:13 event="get_save" level_id=23
2025/07/31 18:17:13 event="no_save_file_found" level_id=23
2025/07/31 18:17:13 event="get_save" level_id=26
2025/07/31 18:17:13 event="no_save_file_found" level_id=26
2025/07/31 18:17:13 event="get_save" level_id=16
2025/07/31 18:17:13 event="no_save_file_found" level_id=16
2025/07/31 18:17:13 event="get_save" level_id=5
2025/07/31 18:17:13 event="no_save_file_found" level_id=5
2025/07/31 18:17:13 event="get_save" level_id=30
2025/07/31 18:17:13 event="no_save_file_found" level_id=30
2025/07/31 18:17:13 event="get_save" level_id=6
2025/07/31 18:17:13 event="no_save_file_found" level_id=6
2025/07/31 18:17:13 event="get_save" level_id=13
2025/07/31 18:17:13 event="no_save_file_found" level_id=13
2025/07/31 18:17:13 event="get_save" level_id=20
2025/07/31 18:17:13 event="no_save_file_found" level_id=20
2025/07/31 18:17:13 event="get_save" level_id=7
2025/07/31 18:17:13 event="no_save_file_found" level_id=7
2025/07/31 18:17:13 event="get_save" level_id=14
2025/07/31 18:17:13 event="no_save_file_found" level_id=14
2025/07/31 18:17:13 event="get_save" level_id=17
2025/07/31 18:17:13 event="no_save_file_found" level_id=17
2025/07/31 18:17:13 event="get_save" level_id=28
2025/07/31 18:17:13 event="no_save_file_found" level_id=28
2025/07/31 18:17:13 event="get_save" level_id=10
2025/07/31 18:17:13 event="no_save_file_found" level_id=10
2025/07/31 18:17:13 event="get_save" level_id=22
2025/07/31 18:17:13 event="no_save_file_found" level_id=22
2025/07/31 18:17:14 event="get_save" level_id=15
2025/07/31 18:17:14 event="no_save_file_found" level_id=15
2025/07/31 18:17:14 event="get_save" level_id=24
2025/07/31 18:17:14 event="no_save_file_found" level_id=24
2025/07/31 18:17:14 event="get_save" level_id=11
2025/07/31 18:17:14 event="no_save_file_found" level_id=11
2025/07/31 18:17:14 event="get_save" level_id=4
2025/07/31 18:17:14 event="no_save_file_found" level_id=4
2025/07/31 18:17:14 event="get_save" level_id=3
2025/07/31 18:17:14 event="no_save_file_found" level_id=3
2025/07/31 18:17:14 event="get_save" level_id=25
2025/07/31 18:17:14 event="no_save_file_found" level_id=25
2025/07/31 18:17:14 event="get_save" level_id=19
2025/07/31 18:17:14 event="no_save_file_found" level_id=19
2025/07/31 18:17:14 event="get_save" level_id=2
2025/07/31 18:17:14 event="no_save_file_found" level_id=2
2025/07/31 18:17:14 event="get_save" level_id=12
2025/07/31 18:17:14 event="no_save_file_found" level_id=12
2025/07/31 18:17:14 event="get_save" level_id=1
2025/07/31 18:17:14 event="no_save_file_found" level_id=1
2025/07/31 18:17:14 event="get_save" level_id=18
2025/07/31 18:17:14 event="no_save_file_found" level_id=18
2025/07/31 18:17:14 event="get_save" level_id=27
2025/07/31 18:17:14 event="no_save_file_found" level_id=27
2025/07/31 18:17:14 event="get_save" level_id=29
2025/07/31 18:17:14 event="no_save_file_found" level_id=29
2025/07/31 18:17:14 event="get_save" level_id=9
2025/07/31 18:17:14 event="no_save_file_found" level_id=9
2025/07/31 18:17:14 event="get_save" level_id=8
2025/07/31 18:17:14 event="no_save_file_found" level_id=8
2025/07/31 18:17:14 event="get_save" level_id=21
2025/07/31 18:17:14 event="no_save_file_found" level_id=21
2025/07/31 18:17:14 event="get_save" level_id=23
2025/07/31 18:17:14 event="no_save_file_found" level_id=23
2025/07/31 18:17:14 event="get_save" level_id=26
2025/07/31 18:17:14 event="no_save_file_found" level_id=26
2025/07/31 18:17:14 event="get_save" level_id=16
2025/07/31 18:17:14 event="no_save_file_found" level_id=16
2025/07/31 18:17:14 event="get_save" level_id=5
2025/07/31 18:17:14 event="no_save_file_found" level_id=5
2025/07/31 18:17:14 event="get_save" level_id=30
2025/07/31 18:17:14 event="no_save_file_found" level_id=30
2025/07/31 18:17:14 event="get_save" level_id=6
2025/07/31 18:17:14 event="no_save_file_found" level_id=6
2025/07/31 18:17:14 event="get_save" level_id=13
2025/07/31 18:17:14 event="no_save_file_found" level_id=13
2025/07/31 18:17:14 event="get_save" level_id=20
2025/07/31 18:17:14 event="no_save_file_found" level_id=20
2025/07/31 18:17:14 event="get_save" level_id=7
2025/07/31 18:17:14 event="no_save_file_found" level_id=7
2025/07/31 18:17:14 event="get_save" level_id=14
2025/07/31 18:17:14 event="no_save_file_found" level_id=14
2025/07/31 18:17:14 event="get_save" level_id=17
2025/07/31 18:17:14 event="no_save_file_found" level_id=17
2025/07/31 18:17:14 event="get_save" level_id=28
2025/07/31 18:17:14 event="no_save_file_found" level_id=28
2025/07/31 18:17:14 event="get_save" level_id=10
2025/07/31 18:17:14 event="no_save_file_found" level_id=10
2025/07/31 18:17:14 event="get_save" level_id=22
2025/07/31 18:17:14 event="no_save_file_found" level_id=22
2025/07/31 18:17:14 event="get_save" level_id=15
2025/07/31 18:17:14 event="no_save_file_found" level_id=15
2025/07/31 18:17:14 event="get_save" level_id=24
2025/07/31 18:17:14 event="no_save_file_found" level_id=24
2025/07/31 18:17:14 event="get_save" level_id=11
2025/07/31 18:17:14 event="no_save_file_found" level_id=11
2025/07/31 18:17:14 event="get_save" level_id=4
2025/07/31 18:17:14 event="no_save_file_found" level_id=4
2025/07/31 18:17:14 event="get_save" level_id=3
2025/07/31 18:17:14 event="no_save_file_found" level_id=3
2025/07/31 18:17:14 event="get_save" level_id=25
2025/07/31 18:17:14 event="no_save_file_found" level_id=25
2025/07/31 18:17:14 event="get_save" level_id=19
2025/07/31 18:17:14 event="no_save_file_found" level_id=19
2025/07/31 18:17:14 event="get_save" level_id=2
2025/07/31 18:17:14 event="no_save_file_found" level_id=2
2025/07/31 18:17:14 event="get_save" level_id=12
2025/07/31 18:17:14 event="no_save_file_found" level_id=12
2025/07/31 18:17:14 event="get_save" level_id=1
2025/07/31 18:17:14 event="no_save_file_found" level_id=1
2025/07/31 18:17:14 event="get_save" level_id=18
2025/07/31 18:17:14 event="no_save_file_found" level_id=18
2025/07/31 18:17:14 event="get_save" level_id=27
2025/07/31 18:17:14 event="no_save_file_found" level_id=27
2025/07/31 18:17:14 event="get_save" level_id=29
2025/07/31 18:17:14 event="no_save_file_found" level_id=29
2025/07/31 18:17:14 event="get_save" level_id=9
2025/07/31 18:17:14 event="no_save_file_found" level_id=9
2025/07/31 18:17:14 event="get_save" level_id=8
2025/07/31 18:17:14 event="no_save_file_found" level_id=8
2025/07/31 18:17:14 event="get_save" level_id=21
2025/07/31 18:17:14 event="no_save_file_found" level_id=21
2025/07/31 18:17:14 event="get_save" level_id=23
2025/07/31 18:17:14 event="no_save_file_found" level_id=23
2025/07/31 18:17:14 event="get_save" level_id=26
2025/07/31 18:17:14 event="no_save_file_found" level_id=26
2025/07/31 18:17:14 event="get_save" level_id=16
2025/07/31 18:17:14 event="no_save_file_found" level_id=16
2025/07/31 18:17:14 event="get_save" level_id=5
2025/07/31 18:17:14 event="no_save_file_found" level_id=5
2025/07/31 18:17:14 event="get_save" level_id=30
2025/07/31 18:17:14 event="no_save_file_found" level_id=30
2025/07/31 18:17:14 event="get_save" level_id=6
2025/07/31 18:17:14 event="no_save_file_found" level_id=6
2025/07/31 18:17:14 event="get_save" level_id=13
2025/07/31 18:17:14 event="no_save_file_found" level_id=13
2025/07/31 18:17:14 event="get_save" level_id=20
2025/07/31 18:17:14 event="no_save_file_found" level_id=20
2025/07/31 18:17:14 event="get_save" level_id=7
2025/07/31 18:17:14 event="no_save_file_found" level_id=7
2025/07/31 18:17:14 event="get_save" level_id=14
2025/07/31 18:17:14 event="no_save_file_found" level_id=14
2025/07/31 18:17:14 event="get_save" level_id=17
2025/07/31 18:17:14 event="no_save_file_found" level_id=17
2025/07/31 18:17:14 event="get_save" level_id=28
2025/07/31 18:17:14 event="no_save_file_found" level_id=28
2025/07/31 18:17:14 event="get_save" level_id=10
2025/07/31 18:17:14 event="no_save_file_found" level_id=10
2025/07/31 18:17:14 event="get_save" level_id=22
2025/07/31 18:17:14 event="no_save_file_found" level_id=22
2025/07/31 18:17:14 event="get_save" level_id=15
2025/07/31 18:17:14 event="no_save_file_found" level_id=15
2025/07/31 18:17:14 event="get_save" level_id=24
2025/07/31 18:17:14 event="no_save_file_found" level_id=24
2025/07/31 18:17:14 event="get_save" level_id=11
2025/07/31 18:17:14 event="no_save_file_found" level_id=11
2025/07/31 18:17:14 event="get_save" level_id=4
2025/07/31 18:17:14 event="no_save_file_found" level_id=4
2025/07/31 18:17:14 event="get_save" level_id=3
2025/07/31 18:17:14 event="no_save_file_found" level_id=3
2025/07/31 18:17:14 event="get_save" level_id=25
2025/07/31 18:17:14 event="no_save_file_found" level_id=25
2025/07/31 18:17:14 event="get_save" level_id=19
2025/07/31 18:17:14 event="no_save_file_found" level_id=19
2025/07/31 18:17:14 event="get_save" level_id=2
2025/07/31 18:17:14 event="no_save_file_found" level_id=2
2025/07/31 18:17:14 event="get_save" level_id=12
2025/07/31 18:17:14 event="no_save_file_found" level_id=12
2025/07/31 18:17:14 event="get_save" level_id=1
2025/07/31 18:17:14 event="no_save_file_found" level_id=1
2025/07/31 18:17:14 event="get_save" level_id=18
2025/07/31 18:17:14 event="no_save_file_found" level_id=18
2025/07/31 18:17:14 event="get_save" level_id=27
2025/07/31 18:17:14 event="no_save_file_found" level_id=27
2025/07/31 18:17:14 event="get_save" level_id=29
2025/07/31 18:17:14 event="no_save_file_found" level_id=29
2025/07/31 18:17:14 event="get_save" level_id=9
2025/07/31 18:17:14 event="no_save_file_found" level_id=9
2025/07/31 18:17:14 event="get_save" level_id=8
2025/07/31 18:17:14 event="no_save_file_found" level_id=8
2025/07/31 18:17:14 event="get_save" level_id=21
2025/07/31 18:17:14 event="no_save_file_found" level_id=21
2025/07/31 18:17:14 event="get_save" level_id=23
2025/07/31 18:17:14 event="no_save_file_found" level_id=23
2025/07/31 18:17:14 event="get_save" level_id=26
2025/07/31 18:17:14 event="no_save_file_found" level_id=26
2025/07/31 18:17:14 event="get_save" level_id=16
2025/07/31 18:17:14 event="no_save_file_found" level_id=16
2025/07/31 18:17:14 event="get_save" level_id=5
2025/07/31 18:17:14 event="no_save_file_found" level_id=5
2025/07/31 18:17:14 event="get_save" level_id=30
2025/07/31 18:17:14 event="no_save_file_found" level_id=30
2025/07/31 18:17:14 event="get_save" level_id=6
2025/07/31 18:17:14 event="no_save_file_found" level_id=6
2025/07/31 18:17:14 event="get_save" level_id=13
2025/07/31 18:17:14 event="no_save_file_found" level_id=13
2025/07/31 18:17:14 event="get_save" level_id=20
2025/07/31 18:17:14 event="no_save_file_found" level_id=20
2025/07/31 18:17:14 event="get_save" level_id=7
2025/07/31 18:17:14 event="no_save_file_found" level_id=7
2025/07/31 18:17:14 event="get_save" level_id=14
2025/07/31 18:17:14 event="no_save_file_found" level_id=14
2025/07/31 18:17:14 event="get_save" level_id=17
2025/07/31 18:17:14 event="no_save_file_found" level_id=17
2025/07/31 18:17:14 event="get_save" level_id=28
2025/07/31 18:17:14 event="no_save_file_found" level_id=28
2025/07/31 18:17:14 event="get_save" level_id=10
2025/07/31 18:17:14 event="no_save_file_found" level_id=10
2025/07/31 18:17:14 event="get_save" level_id=22
2025/07/31 18:17:14 event="no_save_file_found" level_id=22
2025/07/31 18:17:14 event="get_save" level_id=15
2025/07/31 18:17:14 event="no_save_file_found" level_id=15
2025/07/31 18:17:14 event="get_save" level_id=24
2025/07/31 18:17:14 event="no_save_file_found" level_id=24
2025/07/31 18:17:14 event="get_save" level_id=11
2025/07/31 18:17:14 event="no_save_file_found" level_id=11
2025/07/31 18:17:14 event="get_save" level_id=4
2025/07/31 18:17:14 event="no_save_file_found" level_id=4
2025/07/31 18:17:14 event="get_save" level_id=3
2025/07/31 18:17:14 event="no_save_file_found" level_id=3
2025/07/31 18:17:14 event="get_save" level_id=25
2025/07/31 18:17:14 event="no_save_file_found" level_id=25
2025/07/31 18:17:14 event="get_save" level_id=19
2025/07/31 18:17:14 event="no_save_file_found" level_id=19
2025/07/31 18:17:14 event="get_save" level_id=2
2025/07/31 18:17:14 event="no_save_file_found" level_id=2
2025/07/31 18:17:14 event="get_save" level_id=12
2025/07/31 18:17:14 event="no_save_file_found" level_id=12
2025/07/31 18:17:14 event="get_save" level_id=1
2025/07/31 18:17:14 event="no_save_file_found" level_id=1
2025/07/31 18:17:14 event="get_save" level_id=18
2025/07/31 18:17:14 event="no_save_file_found" level_id=18
2025/07/31 18:17:14 event="get_save" level_id=27
2025/07/31 18:17:14 event="no_save_file_found" level_id=27
2025/07/31 18:17:14 event="get_save" level_id=29
2025/07/31 18:17:14 event="no_save_file_found" level_id=29
2025/07/31 18:17:14 event="get_save" level_id=9
2025/07/31 18:17:14 event="no_save_file_found" level_id=9
2025/07/31 18:17:14 event="get_save" level_id=8
2025/07/31 18:17:14 event="no_save_file_found" level_id=8
2025/07/31 18:17:14 event="get_save" level_id=21
2025/07/31 18:17:14 event="no_save_file_found" level_id=21
2025/07/31 18:17:14 event="get_save" level_id=23
2025/07/31 18:17:14 event="no_save_file_found" level_id=23
2025/07/31 18:17:14 event="get_save" level_id=26
2025/07/31 18:17:14 event="no_save_file_found" level_id=26
2025/07/31 18:17:14 event="get_save" level_id=16
2025/07/31 18:17:14 event="no_save_file_found" level_id=16
2025/07/31 18:17:14 event="get_save" level_id=5
2025/07/31 18:17:14 event="no_save_file_found" level_id=5
2025/07/31 18:17:14 event="get_save" level_id=30
2025/07/31 18:17:14 event="no_save_file_found" level_id=30
2025/07/31 18:17:14 event="get_save" level_id=6
2025/07/31 18:17:14 event="no_save_file_found" level_id=6
2025/07/31 18:17:14 event="get_save" level_id=13
2025/07/31 18:17:14 event="no_save_file_found" level_id=13
2025/07/31 18:17:14 event="get_save" level_id=20
2025/07/31 18:17:14 event="no_save_file_found" level_id=20
2025/07/31 18:17:14 event="get_save" level_id=7
2025/07/31 18:17:14 event="no_save_file_found" level_id=7
2025/07/31 18:17:14 event="get_save" level_id=14
2025/07/31 18:17:14 event="no_save_file_found" level_id=14
2025/07/31 18:17:14 event="get_save" level_id=17
2025/07/31 18:17:14 event="no_save_file_found" level_id=17
2025/07/31 18:17:14 event="get_save" level_id=28
2025/07/31 18:17:14 event="no_save_file_found" level_id=28
2025/07/31 18:17:14 event="get_save" level_id=10
2025/07/31 18:17:14 event="no_save_file_found" level_id=10
2025/07/31 18:17:14 event="get_save" level_id=22
2025/07/31 18:17:14 event="no_save_file_found" level_id=22
2025/07/31 18:17:15 event="get_save" level_id=15
2025/07/31 18:17:15 event="no_save_file_found" level_id=15
2025/07/31 18:17:15 event="get_save" level_id=24
2025/07/31 18:17:15 event="no_save_file_found" level_id=24
2025/07/31 18:17:15 event="get_save" level_id=11
2025/07/31 18:17:15 event="no_save_file_found" level_id=11
2025/07/31 18:17:15 event="get_save" level_id=4
2025/07/31 18:17:15 event="no_save_file_found" level_id=4
2025/07/31 18:17:15 event="get_save" level_id=3
2025/07/31 18:17:15 event="no_save_file_found" level_id=3
2025/07/31 18:17:15 event="get_save" level_id=25
2025/07/31 18:17:15 event="no_save_file_found" level_id=25
2025/07/31 18:17:15 event="get_save" level_id=19
2025/07/31 18:17:15 event="no_save_file_found" level_id=19
